REGIONID,DUID,AssetType,SiteName,Owner,TechnologyType,FuelType
 NSW1 ,BURRIN,Existing Plant,Burrinjuck,GSP Energy Pty Ltd, Hydro - Dam ,Hydro - Water
 NSW1 ,,Project,Bushranger Hybrid Facility - Battery,SynCo Global, Storage - Battery ,Other - Other
 NSW1 ,,Project,Bushranger Hybrid Facility - Solar,SynCo Global, Solar PV - Fixed ,Solar - Solar
 TAS1 ,,Existing Plant,Butlers Gorge,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water
 TAS1 ,BUTLERSG,Existing Plant,Butlers Gorge,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water
 NSW1 ,,Project,Calala Battery Energy Storage System 1 (CABESS1),EquisEquis Energy (Australia) Projects (Ngumi 4) Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Calala Battery Energy Storage System 2 (CABESS2),EquisEquis Energy (Australia) Projects (Ngumi 4) Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,CALL_B_1,Existing Plant,Callide B,CS Energy, Turbine - Steam Sub Critical ,Fossil - Black Coal
 QLD1 ,CALL_B_2,Existing Plant,Callide B,CS Energy, Turbine - Steam Sub Critical ,Fossil - Black Coal
 QLD1 ,CPP_3,Existing Plant,Callide C,Joint Venture; Callide Energy Pty Ltd and IG Power (Callide) Ltd., Turbine - Steam Super Critical ,Fossil - Black Coal
 QLD1 ,CPP_4,Existing Plant,Callide C,Joint Venture; Callide Energy Pty Ltd and IG Power (Callide) Ltd., Turbine - Steam Super Critical ,Fossil - Black Coal
 QLD1 ,,Project,Callide Energy Hub - KCI,CSE BESS P/L, Storage - Battery ,Other - Other
 QLD1 ,,Project,Callide Gas Peaker - KCI,CSE H2 Pty Ltd, Turbine - Other ,Other - Other
 QLD1 ,,Project,Callide Power Station Solar Farm,Edify Energy Pty Ltd, Solar PV - Fixed ,Solar - Solar
 QLD1 ,,Project,Callide Solar Power Station BESS,Edify Energy Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,,Project,Callide Wind Farm,DP Green Energy Pty Limited, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Calvale BESS,Lightsource BP, Storage - Battery ,Other - Other
 QLD1 ,,Project,Calvale Solar Farm,Lightsource BP, Solar PV - Fixed ,Solar - Solar
 VIC1 ,,Project,Campbells Forest Solar Farm,4067 Pyramid Development Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Camperdown BESS - Quintas,Quintas Energy P/L, Storage - Battery ,Other - Other
 SA1 ,CNUNDAWF,Existing Plant,Canunda,Canunda Power Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Canyonleigh BESS,X-Elio Australia Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,,Project,Cape Winds Offshore Wind Farm,NeuGen Technology P/L, Wind Turbine - Offshore ,Wind - Wind
 NSW1 ,,Project,Capital 2 Wind Farm,Capital Wind Farm 2 Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,CAPBES1,Existing Plant,Capital Battery,Capital Battery Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,CESF1,Existing Plant,Capital East Solar Farm P1,IBERDROLA AUSTRALIA HOLDINGS PTY LIMITED, Solar PV - Fixed ,Solar - Solar
 NSW1 ,CAPTL_WF,Existing Plant,Capital Wind Farm,Renewable Power Ventures Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Capricorn BESS - KCI,ENEL Green Power Australia, Storage - Battery ,Other - Other
 QLD1 ,,Project,Capricornia Energy Hub (CEH) PHES,Eungella PHES Pty Ltd ATF Eungella PHES Trust, Storage - Pumped hydro ,Hydro - Water
 QLD1 ,,Project,Captains Mountain Wind Farm,vestas_NR, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Carag Solar Farm,Enerparc Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar
 SA1 ,,Project,Carmody BESS,GHRE, Storage - Battery ,Other - Other
 SA1 ,,Project,Carmodys Hill Wind Farm,Georgetown Hills Renewable Energy Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 SA1 ,,Project,Carmodys Hill Wind Farm,Georgetown Hills Renewable Energy Pty Ltd, Storage - Battery ,Wind - Wind
 VIC1 ,,Project,Carwarp BESS,Canadian Solar, Storage - Battery ,Other - Other
 VIC1 ,,Project,Carwarp Solar Farm - Stage I,Canadian Solar (Australia) Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Carwarp Solar Farm - Stage II,Canadian Solar (Australia) Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 TAS1 ,LI_WY_CA,Existing Plant,Catagunya / Liapootah / Wayatinah,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water
 TAS1 ,LI_WY_CA,Existing Plant,Catagunya / Liapootah / Wayatinah,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water
 TAS1 ,LI_WY_CA,Existing Plant,Catagunya / Liapootah / Wayatinah,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water
 TAS1 ,LI_WY_CA,Existing Plant,Catagunya / Liapootah / Wayatinah,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water
 TAS1 ,LI_WY_CA,Existing Plant,Catagunya / Liapootah / Wayatinah,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water
 SA1 ,CATHROCK,Existing Plant,Cathedral Rocks,JV Cathedral Rock Investments Pty Ltd - Acciona Energy Australia Global Pty Ltd and EnergyAustralia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Cattle Creek Wind Farm - KCI,RWE Renewables Australia Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,,Project,Cattle Creek Wind Farm - KCI,RWE Renewables Australia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 TAS1 ,CTHLWF1,Existing Plant,Cattle Hill Wind Farm,Wild Cattle Hill Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Central Para Wind Farm (KCI),Macleay Ventures Pty Ltd., Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Central West Pumped Hydro,ATCO Australia Pumped Hydro Pty Ltd, Hydro - Dam ,Hydro - Water
 TAS1 ,CETHANA,Existing Plant,Cethana,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water
 TAS1 ,,Project,Cethana Pumped Hydro Option,Hydro-Electric Corporation, Storage - Pumped hydro ,Hydro - Water
 SA1 ,CHMLBESS,Project,Chaff Mill (Mintaro) BESS,FRV Services Australia Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,,Existing Plant,Challicum Hills,Pacific Hydro Challicum Hills Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Chances Plain Solar Farm,juwi Renewable Energy Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,CHPSTWF1,Existing Plant,Chepstowe Wind Farm - VIC,Chepstowe Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,CHYTWF1,Existing Plant,Cherry Tree Wind Farm,Cherry Tree Wind Farm Pty Limited A.T.F. Cherry Tree Project Trust, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,CHILDSF1,Existing Plant,Childers Solar Farm,Childers Solar Pty Ltd as trustee for the Childers Solar Trust, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,CHBESS1,Existing Plant,Chinchilla BESS,CSE BESS Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,,Project,Chinchilla Solar Farm,First Solar Australia Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Chipping Norton Waste to Energy,Benedict Indistries P/L, Turbine - Steam Sub Critical ,Other - Other
 SA1 ,CBWWPV1,Existing Plant,Christies Beach Wastewater Treatment Plant,South Australian Water Corporation, Solar PV - Single axis tracking ,Solar - Solar
 SA1 ,CBWWBA1,Existing Plant,Christies Beach Wastewater Treatment Plant,South Australian Water Corporation, Storage - Battery ,Other - Other
 TAS1 ,,Project,Cimitiere Plains Solar Farm,Sun Spot 9 Pty Ltd, Solar PV - Fixed ,Solar - Solar
 QLD1 ,CLARESF1,Existing Plant,Clare Solar Farm,Clare Asset Co Pty Ltd ATF Clare Asset Trust, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Clarke Creek 2 BESS - KCI,Isaac Wind and Solar Energy Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,CLRKCWF1,Project,Clarke Creek Wind Farm,Squadron Energy Services Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,CLRKCWF2,Project,Clarke Creek Wind Farm,Squadron Energy Services Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,CLAYTON,Existing Plant,Clayton,EDL LFG Vic Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas
 SA1 ,,Project,Clements Gap - BESS,Pacific Hydro Clements Gap Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,CLEMGPWF,Existing Plant,Clements Gap Wind Farm,Pacific Hydro Clements Gap Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,CLERMSF1,Existing Plant,Clermont Solar Farm,Clermont Asset Co Pty Ltd as Trustee for Clerrmont Solar Unit Trust, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,CLOVER,Existing Plant,Clover,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water
 TAS1 ,CLUNY,Existing Plant,Cluny,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water
 NSW1 ,,Project,Cobbora BESS,Pacific Partnerships, Storage - Battery ,Other - Other
 NSW1 ,,Project,Cobbora Solar Farm,pacificp_NR, Solar PV - Fixed ,Solar - Solar
 VIC1 ,,Project,Cobden BESS - Quintas,Quintas Energy P/L, Storage - Battery ,Other - Other
 VIC1 ,CODRNGTON,Existing Plant,Codrington Wind Farm,Energy Pacific (Vic) Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,COHUNSF1,Existing Plant,Cohuna Solar Farm,Cohuna Solar Farm Pty Ltd as trustee for the Cohuna Solar Farm Trust, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Coleambally BESS,Coleambally BESS Trust, Storage - Battery ,Other - Other
 NSW1 ,COLEASF1,Existing Plant,Coleambally Solar Farm,Coleambally Solar Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,COLWF01,Existing Plant,Collector,Ratch Australia, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Collinsville Coal Fired Power Station Project - KCI,Shine Energy, Other - Other ,Fossil - Black Coal
 QLD1 ,,Project,Collinsville Green Energy Hub,COLLINSVILLE GREEN ENERGY HUB PTY LTD, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Collinsville North Battery Project,TBSOL, Storage - Battery ,Other - Other
 QLD1 ,CSPVPS1,Existing Plant,Collinsville PV,Ratch Australia, Solar PV - Fixed ,Solar - Solar
 NSW1 ,CG1,Existing Plant,Colongra,Snowy Hydro Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 NSW1 ,CG2,Existing Plant,Colongra,Snowy Hydro Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 NSW1 ,CG3,Existing Plant,Colongra,Snowy Hydro Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 NSW1 ,CG4,Existing Plant,Colongra,Snowy Hydro Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 QLD1 ,,Project,Columboola BESS,Columboola BESS Nominees Pty Ltd, Storage - Battery ,Other - Other
 QLD1 ,,Project,Columboola BESS - KCI,StorEnergy P/L, Storage - Battery ,Other - Other
 QLD1 ,COLUMSF1,Existing Plant,Columboola Solar Farm,Luminous Energy, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Comet Energy Park,Hadstone Energy Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Comet Park BESS - KCI,Samsung C&T Renewable Energy Australia Pty Ltd., Storage - Battery ,Other - Other
 QLD1 ,CPSA,Existing Plant,Condamine A,QGC Sales QLD Pty Ltd, Turbine - CCGT ,Fossil - Coal Seam Methane
 QLD1 ,CPSA,Existing Plant,Condamine A,QGC Sales QLD Pty Ltd, Turbine - Steam Sub Critical ,Fossil - Coal Seam Methane
 NSW1 ,CONDONG1,Existing Plant,Condong,Cape Byron Management PTY LTD, Turbine - Steam Sub Critical ,Renewable Biomass or Waste - Bagasse
 NSW1 ,,Project,Conroys Gap WF - KCI,Waldren Construction Pty Ltd., Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,,Project,Cooba Solar Farm - KCI,Venn Energy Pty Ltd / Cooba Solar Project Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Cooma BESS (ACEN),ACEN RENEWABLES, Storage - Battery ,Other - Other
 NSW1 ,,Project,Cooma Hybrid BESS and Solar Farm (ACEN),ACEN RENEWABLES, Solar PV - Fixed ,Solar - Solar
 NSW1 ,,Project,Cooma Hybrid BESS and Solar Farm (ACEN),ACEN RENEWABLES, Storage - Battery ,Other - Other
 NSW1 ,,Project,Cooma Solar Farm,BE PRO CM pty ltd, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Cooma Solar Farm (Lightsource),Lightsource Development Services Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar
 VIC1 ,,Project,Coonawarren BESS - KCI,Akaysha Energy, Storage - Battery ,Other - Other
 VIC1 ,CBWF1,Existing Plant,Coonooer Bridge Wind Farm,Coonooer Bridge Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,COOPGWF1,Existing Plant,Coopers Gap Wind Farm,PARF Company 6 Pty Limited, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,COOPGWF1,Existing Plant,Coopers Gap Wind Farm,PARF Company 6 Pty Limited, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Cooroy BESS,Enervest Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,COPTNHYD,Existing Plant,Copeton,AGL, Hydro - Dam ,Hydro - Water
 NSW1 ,COPBEL,Project,Coppabella Wind Farm,Coppabella Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,,Project,Corop BESS,Leeson Solar Pty Ltd., Storage - Battery ,Other - Other
 VIC1 ,,Project,Corop Solar Farm,Leeson Solar Pty Ltd., Solar PV - Fixed ,Solar - Solar
 NSW1 ,CRWASF1,Existing Plant,Corowa Solar Farm,Corowa Operationsco Pty Ltd as trustee for Corowa Operations Trust, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Cranbourne BESS (Macquarie),Macquarie Corporate Holdings Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,CROOKWF2,Existing Plant,Crookwell 2 Wind Farm,Crookwell Development Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,CROOKWF3,Existing Plant,Crookwell 3 Wind Farm,Crookwell 3 Development Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Cross Roads Energy Solar Farm - KCI,Crossroads Energy Pty Ltd, Solar PV - Fixed ,Solar - Solar
 VIC1 ,CROWLWF1,Existing Plant,Crowlands Wind Farm,Pacific Hydro Crowlands Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,CRURWF1,Existing Plant,Crudine Ridge Wind Farm,CRWF Nominees Pty Ltd as trustee of the CRWF Trust, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Culcairn Solar Farm,Culcairn Solar Farm Pty Ltd as trustee for Culcairn Solar Farm Trust, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,CULLRGWF,Existing Plant,Cullerin Range Wind Farm,Cullerin Range Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 SA1 ,,Project,Cultana Solar Farm,Cultana Solar Project Company Pty Ltd as trustee for the Cultana Solar Farm Trust, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Dalby Solar Farm,Dalby Asset Trust, Solar PV - Fixed ,Solar - Solar
 SA1 ,DALNTH1,Existing Plant,Dalrymple BESS,ElectraNet, Storage - Battery ,Other - Other
 VIC1 ,,Project,Dalvui BESS,Tilt Renewables Australia Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Dapper Solar Farm,BORAL, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,DDPS1,Existing Plant,Darling Downs,Origin Energy Power Limited, Turbine - CCGT ,Fossil - Coal Seam Methane
 QLD1 ,DDPS1,Existing Plant,Darling Downs,Origin Energy Power Limited, Turbine - CCGT ,Fossil - Coal Seam Methane
 QLD1 ,,Project,Darling Downs Battery,BORAL, Storage - Battery ,Other - Other
 QLD1 ,,Project,Darling Downs Battery,BORAL, Storage - Battery ,Other - Other
 QLD1 ,,Project,Darling Downs BESS (APA),APA Group, Storage - Battery ,Other - Other
 QLD1 ,DDSF1,Existing Plant,Darling Downs Solar Farm,Darling Downs Solar Farm Pty Ltd, Solar PV - Fixed ,Solar - Solar
 NSW1 ,DPNTB1,Existing Plant,Darlington Point Energy Storage System,DPESS Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,DARLSF1,Existing Plant,Darlington Point Solar Farm,Darlington Point Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Darlington Wind Farm - GPG,globalpower-generation_NR, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Daroobalgie Solar Farm,Pacific Hydro Australia Developments Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,DARTM1,Existing Plant,Dartmouth,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water
 SA1 ,,Project,Davenport BESS,Green Gold, Storage - Battery ,Other - Other
 QLD1 ,DAYDSF1,Existing Plant,Daydream Solar Farm,The Daydream Solar Farm Trust, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Deal 1 (West) Off Shore Wind Farm,BayWa r.e. Australia Offshore Wind Projects 1 Pty Ltd, Wind Turbine - Offshore ,Wind - Wind
 VIC1 ,,Project,Deal 2 (East) Off Shore Wind Farm,BayWa r.e. Australia Offshore Wind Projects 2 Pty Ltd, Wind Turbine - Offshore ,Wind - Wind
 VIC1 ,,Project,Dederang BESS,Mint Renewables, Storage - Battery ,Other - Other
 NSW1 ,,Project,Deepwater BESS,Ib vogt Development Australia Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Deepwater Solar Farm,Ib vogt Development Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar
 VIC1 ,,Project,Delburn Wind Farm,Delburn Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Deniliquin BESS - Storage - KCI,Enervest Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Deniliquin East BESS,BESS Arctic Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Denman BESS - KCI,NEMMCOM Renewables Australia Developments Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,,Project,Derby Solar Farm & BESS,DERBY SOLAR PROJECT PTY LTD, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,,Project,Derby Solar Farm & BESS,DERBY SOLAR PROJECT PTY LTD, Storage - Battery ,Solar - Solar
 TAS1 ,,Project,Derwent Valley Wind Farm,West Coast Renewable Energy, Wind Turbine - Onshore ,Wind - Wind
 TAS1 ,DEVILS_G,Existing Plant,Devils Gate,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water
 VIC1 ,DIAPURWF1,Existing Plant,Diapur Wind Farm,Diapur Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Dingo Solar Farm,ESCO Pacific, Solar PV - Fixed ,Solar - Solar
 SA1 ,,Project,Direk BESS,BESS DIREK PTY LTD, Storage - Battery ,Other - Other
 VIC1 ,,Project,Doreen BESS,BZ Renewables Holdings Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,,Project,Dry Creek BESS - KCI,International Power (Energy) Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,DRYCGT1,Existing Plant,Dry Creek GT,Synergen Power Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 SA1 ,DRYCGT2,Existing Plant,Dry Creek GT,Synergen Power Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 SA1 ,DRYCGT3,Existing Plant,Dry Creek GT,Synergen Power Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline
 QLD1 ,,Project,Dulacca Solar,juwi Renewable Energy Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,DULAWF1,Existing Plant,Dulacca Wind Farm,Dulacca Energy Project Co Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Dumaresq Solar Farm,Dumaresq Solar Farm Pty Limited, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,DUNDWF1,Existing Plant,Dundonnell Wind Farm,Tilt Renewables, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,DUNDWF2,Existing Plant,Dundonnell Wind Farm,Tilt Renewables, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,DUNDWF3,Existing Plant,Dundonnell Wind Farm,Tilt Renewables, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Dunedoo Solar Farm,ib vogt GmbH / Sun Spot 4, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,"Dungowan 3,000 MWH PHES",Dungowan Pumped Hydro Pty Ltd, Storage - Pumped hydro ,Hydro - Water
 QLD1 ,,Project,Dunmore BESS,Samsung C&T, Storage - Battery ,Other - Other
 QLD1 ,,Project,Dunmore Solar Farm,Samsung C&T, Solar PV - Fixed ,Solar - Solar
 QLD1 ,,Project,Dunmore Solar PV,"Samsung C&T Renewable Energy Australia Pty, Ltd", Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Dunmore Solar PV,"Samsung C&T Renewable Energy Australia Pty, Ltd", Storage - Battery ,Other - Other
 NSW1 ,EASTCRK,Existing Plant,Eastern Creek,EDL LFG NSW Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas
 NSW1 ,,Existing Plant,Eastern Creek 2 Gas Utilisation Facility,LMS Energy Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas
 NSW1 ,,Project,Eastern Rise Offshore Wind,Eastern Rise OWP Project Pty Ltd, Wind Turbine - Offshore ,Wind - Wind
 NSW1 ,,Project,Edderton Hybrid Faciility - Solar,Voltere Pty Ltd., Solar PV - Fixed ,Solar - Solar
 NSW1 ,,Project,Edderton Hybrid Facility - BESS,Voltere Pty Ltd., Storage - Battery ,Other - Other
 NSW1 ,,Project,Eden Offshore Wind Farm,OceanEx Energy, Wind Turbine - Offshore ,Wind - Wind
 QLD1 ,EDENVSF1,Existing Plant,Edenvale Solar Park,Edenvale Solar Park Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 VIC1 ,EILDON1,Existing Plant,Eildon,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water
 VIC1 ,EILDON1,Existing Plant,Eildon,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water
 VIC1 ,EILDON2,Existing Plant,Eildon,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water
 VIC1 ,EILDON2,Existing Plant,Eildon,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water
 VIC1 ,EILDON3,Existing Plant,Eildon Pondage Power Station (EPPS),Pacific Hydro Investments Pty Ltd, Hydro - Run of River ,Hydro - Water
 QLD1 ,,Project,Elai Genesis Battery Storage System,Elai Energy Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,,Project,Elaine BESS,Elaine ProjectCo Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,,Project,Elaine Solar Farm & BESS Hybrid,Elgin Energy Pty Ltd, Solar PV - Fixed ,Solar - Solar
 VIC1 ,,Project,Elaine Solar Farm & BESS Hybrid,Elgin Energy Pty Ltd, Storage - Battery ,Other - Other
 VIC1 ,ELAINWF1,Existing Plant,Elaine Wind Farm,Northleaf /InfraRed/Macquarie Capital, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,EMERASF1,Existing Plant,Emerald Solar Park,Lighthouse Infrastructure Management Limited, Solar PV - Single axis tracking ,Solar - Solar
 SA1 ,,Project,Emeroo BESS,Potentia Energy Group Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Emu Park BESS,M Renweables Australia, Storage - Battery ,Other - Other
 NSW1 ,,Project,Emu Park Solar Farm,M Renweables Australia, Solar PV - Fixed ,Solar - Solar
 NSW1 ,ER01,Existing Plant,Eraring,Origin Energy Eraring Pty Ltd, Turbine - Steam Sub Critical ,Fossil - Black Coal
 NSW1 ,ER02,Existing Plant,Eraring,Origin Energy Eraring Pty Ltd, Turbine - Steam Sub Critical ,Fossil - Black Coal
 NSW1 ,ER03,Existing Plant,Eraring,Origin Energy Eraring Pty Ltd, Turbine - Steam Sub Critical ,Fossil - Black Coal
 NSW1 ,ER04,Existing Plant,Eraring,Origin Energy Eraring Pty Ltd, Turbine - Steam Sub Critical ,Fossil - Black Coal
 NSW1 ,,Project,Eraring Big Battery,Origin Energy Electricity Limited, Storage - Battery ,Other - Other
 NSW1 ,,Project,Eraring Big Battery,Origin Energy Electricity Limited, Storage - Battery ,Other - Other
 NSW1 ,,Project,Eraring Big Battery,Origin Energy Electricity Limited, Storage - Battery ,Other - Other
 NSW1 ,ERGT01,Existing Plant,Eraring GT,Origin Energy Eraring Pty Ltd, Turbine - OCGT ,Fossil - Diesel
 QLD1 ,,Project,Eurimbula Hybrid Facility - Battery Storage,unitedgreen_NR, Storage - Battery ,Other - Other
 QLD1 ,,Project,Eurimbula Solar Farm,Unitedgreen_NR, Solar PV - Single axis tracking ,Solar - Solar
 NSW1 ,,Project,Euston Wind Farm - KCI,Balranald Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,,Project,Everleigh Solar Farm & BESS - KCI,Everleigh Solar Park Pty Ltd, Solar PV - Fixed ,Solar - Solar
 VIC1 ,,Project,Everleigh Solar Farm & BESS - KCI,Everleigh Solar Park Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,,Project,Exmoor,Acciona Energy, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,,Project,Ferguson South Wind Farm,Ferguson Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 VIC1 ,FNWF1,Existing Plant,Ferguson Wind Farm,Ferguson Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Fiery Creek Wind Farm,Tilt Renewables Australia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
